source,author,title,description,url,publishedAt,content
Gizmodo.com,Bruce Gil,US Government Reportedly Allowing Federal Data Center Rules to Expire,A federal law setting standards for government data centers is set to expire this year with no clear replacement.,https://gizmodo.com/us-government-reportedly-allowing-federal-data-center-rules-to-expire-2000772083,2026-06-15T19:40:27Z,"The AI boom continues to drive new data center projects (and subsequent public outcries) across the country, while a law that sets standards for how federal agencies build, use, and operate data cent… [+3093 chars]"
Gizmodo.com,AJ Dellinger,Sam Altman Eyes Bernie Sanders as His Pope,Look who is ready to play ball.,https://gizmodo.com/sam-altman-eyes-bernie-sanders-as-his-pope-2000767184,2026-06-03T21:37:55Z,"After Anthropic got an invitation from Pope Leo XIV for his encyclical on artificial intelligence, OpenAI is looking for its own moral authority to latch onto. It seems that Altman and company have c… [+3383 chars]"
Gizmodo.com,Bruce Gil,SpaceX’s IPO Could Make Some Trump Administration Officials Even Richer,Several Trump administration officials held millions in SpaceX and xAI equity ahead of the company’s planned massive IPO.,https://gizmodo.com/spacexs-ipo-could-make-some-trump-administration-officials-even-richer-2000767020,2026-06-03T17:40:08Z,"Elon Musk isnt the only person set to get richer when SpaceX goes public next week.
According to a Bloomberg report, 10 Trump administration officials disclosed holding millions of dollars in stakes… [+3144 chars]"
Gizmodo.com,Ed Cara,Deadly Proteins Behind Mad Cow Disease Might Help Us Fight Superbugs,"The same prions responsible for mad cow disease and other deadly brain disorders could contain fragments that can treat drug-resistant bacteria, new research suggests.",https://gizmodo.com/deadly-proteins-behind-mad-cow-disease-might-help-us-fight-superbugs-2000775302,2026-06-22T15:55:10Z,The next frontier of antibiotics might come from an unexpected place. Recent research identifies potential antibiotic candidates from inside prionsproteins capable of causing some of the deadliest br… [+3756 chars]
Gizmodo.com,Germain Lussier,‘Star Wars’ and ‘Jurassic World’ Director Gareth Edwards Is All for AI in Filmmaking,The man who also made 'The Creator' and 'Godzilla' enthusiastically endorsed the technology at a recent event.,https://gizmodo.com/star-wars-and-jurassic-world-director-gareth-edwards-is-all-for-ai-in-filmmaking-2000765061,2026-05-29T17:00:46Z,"A director who has made films in some of the biggest franchises in the world just came out as a strong advocate of artificial intelligence in filmmaking. Gareth Edwards, the director of Godzilla, Rog… [+2403 chars]"
Gizmodo.com,Bruce Gil,The Pope’s AI Warning Could Help Workers Seek Religious Exemptions From Using AI,A North Carolina software engineer already secured an accommodation allowing her to avoid using AI at work based on her religious beliefs.,https://gizmodo.com/the-popes-ai-warning-could-help-workers-seek-religious-exemptions-from-using-ai-2000768283,2026-06-06T11:00:28Z,"Pope Leo XIVs recent encyclical on AI could set off a wave of workers seeking religious exemptions from using the tech at work.
One software engineer in North Carolina already secured one last month… [+3024 chars]"
Gizmodo.com,Gayoung Lee,IBM Crosses One of Computing’s Biggest Barriers With World’s First Sub-1 Nanometer Chip,The new chip technology packs nearly 100 billion transistors into a fingernail-sized chip.,https://gizmodo.com/ibm-crosses-one-of-computings-biggest-barriers-with-worlds-first-sub-1-nanometer-chip-2000777736,2026-06-25T16:40:02Z,"In a major breakthrough, IBM revealed the world’s first semiconductor chip technology built on a sub-1 nanometer chipmaking process. For comparison, the process uses transistor features smaller than … [+3403 chars]"
Gizmodo.com,Bruce Gil,A Federal Regulator Wants to Fast-Track AI Data Centers Onto the Power Grid,The Federal Energy Regulatory Commission is pushing grid operators to update rules for connecting massive power users.,https://gizmodo.com/a-federal-regulator-wants-to-fast-track-ai-data-centers-onto-the-power-grid-2000773803,2026-06-18T21:15:18Z,"It seems like a major U.S. energy regulator is trying to have it all. It wants grid operators to move faster in connecting power-hungry data centers, while also keeping costs down for regular consume… [+3526 chars]"
Gizmodo.com,Passant Rabie,"Meet ERNEST, NASA’s Next-Generation Rover Designed to Be Faster and Tougher",The prototype rover recently traversed across the Colorado Desert at 10 times the speed of its predecessors.,https://gizmodo.com/meet-ernest-nasas-next-generation-rover-designed-to-be-faster-and-tougher-2000774216,2026-06-19T17:00:05Z,"During a recent field test in the Colorado desert, a four-wheeled rover traveled across 16 miles (25 kilometers) in a little over a day and a half, lifting its mesh wheels to drive over obstacles in … [+3693 chars]"
Scientific American,Claire Cameron,Trump’s new AI executive order drastically shifts the administration’s stance on the tech,This order asks artificial intelligence companies to give the U.S. government up to 30 days to assess frontier models before they are released,https://www.scientificamerican.com/article/trumps-new-ai-executive-order-drastically-shifts-the-administrations-stance-on-the-tech/,2026-06-02T17:15:00Z,On Tuesday President Donald Trump issued an executive order that seeks to give the U.S. government more oversight of “frontier” artificial intelligence models—signaling a fundamental shift from the a… [+1946 chars]
