source,author,title,description,url,publishedAt,content
BBC News,Ana Faguy,Dozens walk out as Google boss Pichai addresses Stanford graduates,Some students were protesting against the company's controversial work with the US government on artificial intelligence.,https://www.bbc.com/news/articles/cqx10gg2r2vo?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,2026-06-15T14:44:32Z,"Watch: Dozens of Stanford grads walk out on Google CEO's speech
Several students walked out of their Stanford University graduation ceremony as Google CEO Sundar Pichai took the stage to deliver a k… [+2000 chars]"
Gizmodo.com,Bruce Gil,Amazon MGM Studios Backs Out of Sam Altman Biopic Months After Amazon Gave OpenAI Tons of Money,The decision comes months after Amazon announced a $50 billion partnership with the AI company.,https://gizmodo.com/amazon-mgm-studios-backs-out-of-sam-altman-biopic-months-after-amazon-gave-openai-tons-of-money-2000774244,2026-06-19T15:30:04Z,"Months after Amazon announced plans to invest billions in OpenAI, the e-commerce giants film studio has now dropped an upcoming movie about the AI company.
Amazon MGM has decided not to release Arti… [+3082 chars]"
The Verge,Andrew J. Hawkins,Ford had to hire back former engineers to fix mistakes made by its automated systems,"To celebrate its new status as No. 1 in JD Power's initial quality ranking among mainstream automakers, Ford is opening up about the challenges it has faced in recent years, especially around its reliance on automated systems in production and design. It turn…",https://www.theverge.com/transportation/956316/ford-quality-jd-power-ranking-ai-automated-mistakes,2026-06-24T21:27:04Z,"<ul><li></li><li></li><li></li></ul>
The automaker was recently named No. 1 in JD Powers initial quality ranking for the first time in 16 years.
The automaker was recently named No. 1 in JD Powers … [+6326 chars]"
Yahoo Entertainment,Reuters,Explainer-What are AI PCs that Nvidia's Jensen Huang is betting on?,June 1 () - Nvidia has turned the spotlight on AI PCs after CEO Jensen Huang launched a new chip that would put artificial intelligence capabilities directly...,https://finance.yahoo.com/news/explainer-ai-pcs-nvidias-jensen-135342450.html,2026-06-01T16:38:37Z,June 1 (Reuters) - Nvidia has turned the spotlight on AI PCs after CEO Jensen Huang launched a new chip that would put artificial intelligence capabilities directly into laptops and desktop computers… [+3426 chars]
Yahoo Entertainment,"Kevin Schaul and Nitasha Tiku, (c) 2026 , The Washington Post",The White House said Anthropic's powerful AI was 'jailbroken.' Here's what that means.,"Artificial intelligence tools have remarkably broad knowledge about the world, but some of it is unsavory or dangerous. Tech firms try to prevent their chatb...",https://finance.yahoo.com/news/the-white-house-said-anthropics-powerful-ai-was-jailbroken-heres-what-that-means-180807534.html,2026-06-18T18:08:07Z,"Artificial intelligence tools have remarkably broad knowledge about the world, but some of it is unsavory or dangerous.
Tech firms try to prevent their chatbots from discussing certain topics such a… [+4127 chars]"
Yahoo Entertainment,WSJ,"How Leaders Are Transforming Marketing, Creativity, and Operations","A panel of chief executives discuss how artificial intelligence is transforming marketing, retail, food delivery, and creative industries. They detail the op...",https://finance.yahoo.com/video/leaders-transforming-marketing-creativity-operations-142000137.html,2026-06-10T14:20:00Z,"A panel of chief executives discuss how artificial intelligence is transforming marketing, retail, food delivery, and creative industries. They detail the opportunities for growth, productivity, and … [+87 chars]"
NPR,Holly J. Morris,Which first lady feared her husband might be having a stroke? The quiz knows,"This week, the pope took aim at AI, a fancy carmaker dipped a toe in the EV market and a first lady made a surprising comment.",https://www.npr.org/2026/05/29/g-s1-124599/tennis-biden-bezos-pope-google-news-quiz,2026-05-29T09:01:00Z,"This week, the pope took a stand on artificial intelligence in an encyclical Google Gemini called ""historic and highly ambitious"" and an ""aggressive, uncompromising critique."" Thanks, Gemini! Enjoy t… [+27 chars]"
Gizmodo.com,Ece Yildirim,"‘We Expect It to Leak, So We’re Just Announcing It’: OpenAI Files Confidentially for IPO",The most consequential artificial intelligence IPO is on the horizon.,https://gizmodo.com/we-expect-it-to-leak-so-were-just-announcing-it-openai-files-confidentially-for-ipo-2000762237,2026-06-08T22:17:07Z,"OpenAI is officially going public. The AI giant announced on Monday that it filed for an IPO with the U.S. Securities and Exchange Commission.
“We expect it to leak so were just announcing it,” Open… [+4040 chars]"
Public Technology,,UK Home Office launches £75M 'PoliceAI' to capitalise on artificial intelligence,"Rebrand ditches dot from “Police.AI” proposal floated in January’s policing white paper as minister espouses the potential for technology to identify stolen goods and track people selling illegally obtained items







The Home Office has formally launched a…",https://www.publictechnology.net/2026/06/15/public-order-justice-and-rights/home-office-launches-75m-policeai-to-capitalise-on-artificial-intelligence/,2026-06-20T20:41:06Z,"The Home Office has formally launched a new national centre for scaling up the use of artificial intelligence for policing in England and Wales.
Creating Police.AI was one of a range of measures set… [+3274 chars]"
Yahoo Entertainment,WSJ,LinkedIn Executive Details Global Hiring Slowdown and the Rise of 'New Collar' AI Jobs,"LinkedIn Chief Business Officer Mark Lobosco said that overall global hiring is currently running 20% to 30% below pre-pandemic levels, while the artificial-...",https://finance.yahoo.com/video/linkedin-executive-details-global-hiring-151100729.html,2026-06-23T15:11:00Z,"LinkedIn Chief Business Officer Mark Lobosco said that overall global hiring is currently running 20% to 30% below pre-pandemic levels, while the artificial-intelligence sector remains a major bright… [+218 chars]"
Gizmodo.com,Ece Yildirim,Republicans Claim Anti-Data Center Movement Is a Chinese Psy-Op,The lawmakers are asking the FBI to step in.,https://gizmodo.com/republicans-claim-anti-data-center-movement-is-a-chinese-psy-op-2000767611,2026-06-05T11:35:54Z,"A group of Republican lawmakers is demanding that the FBI investigate whether rising anti-AI sentiment among the American public is a foreign-influence operation led by China.
“The Committee on Ener… [+3510 chars]"
Gizmodo.com,Justin Caffier,"Philly Cops Are Reportedly Monitoring Anti-AI Memes, According to Internal Alert",A bulletin from a regional fusion center clocks increasing anti-AI sentiment on social media and warns offline destructive action is coming.,https://gizmodo.com/philly-cops-are-reportedly-monitoring-anti-ai-memes-according-to-internal-alert-2000766462,2026-06-02T19:35:42Z,"The Constitution and centuries of case law have done an adequate job of enshrining the right to protest in America. But according to the Trump administration, those rights are all but forfeit if the … [+3135 chars]"
Gizmodo.com,Webb Wright,"Bernie Sanders’ New AI Bill Would Pay Americans $1,000 a Year",The senator is making the case that AI is a public resource that was built using the collective genius of humanity.,https://gizmodo.com/bernie-sanders-new-ai-bill-would-pay-americans-1000-a-year-2000773754,2026-06-18T19:45:06Z,"Bernie Sanders is making the case in Washington that since modern AI systems were built using the intellectual and creative outputs of all of humanity, the revenues they generate should go directly t… [+3486 chars]"
Gizmodo.com,Webb Wright,OpenAI Joins Anthropic in Call for International AI Watchdog,The calls for a slow down on frontier model development are growing.,https://gizmodo.com/openai-joins-anthropic-in-call-for-international-ai-watchdog-2000769442,2026-06-09T15:40:29Z,"OpenAI is calling for the formation of an international organization to oversee AI development. And to slow it down, if necessary: “One goal of such an organization should be to make it possible for … [+2862 chars]"
The Verge,Tina Nguyen,"The future of AI regulation is courting the strangest, most anxious bedfellows","Hello and welcome to Regulator, a newsletter for Verge subscribers about tech politics, tech influence, and tech shenanigans in Washington, DC. (If you're not a subscriber, you can get on board here.) We're back after a two-week hiatus, during most of which I…",https://www.theverge.com/column/947838/washington-ai-network-honors-2026-midterms,2026-06-10T17:25:32Z,"<ul><li></li><li></li><li></li></ul>
The future of AI regulation is courting the strangest, most anxious bedfellows
The future of AI regulation is courting the strangest, most anxious bedfellows
b… [+7531 chars]"
Nature.com,"Dyke Ferber, Lars Hilgers, Christiane Höper, Benedict Kinny-Köster, Jan-Niklas Eckardt, Katharina Egger-Heidrich, Marius Bill, Martin M. K. Schneider, Jan Clusmann, Lejla Kadric, Marcel Oehme, Maximilian Mayrhofer-Schmid, Alexander Oeser, Georg Wölflein, Isabella C. Wiest, Jan Moritz Middeke, A. John Iafrate, Daniel Truhn, Dirk Jäger, Jakob Nikolas Kather",Towards autonomous medical artificial intelligence agents,"A large language model artificial intelligence agent operating in a sandboxed electronic health record system can autonomously&nbsp;take patient histories, order tests, interpret findings, diagnose conditions and propose treatments, outperforming experienced …",https://www.nature.com/articles/s41586-026-10675-5,2026-06-17T00:00:00Z,"MIMIC-IV dataset
Dataset description
We develop a benchmark of 574 patients derived from the MIMIC-IV database which is a publicly available, comprehensive repository of de-identified EHRs from app… [+50867 chars]"
Slashdot.org,BeauHD,Ford Rehires 350 Engineers After AI Fails To Preserve Expertise or Train Juniors,"After Ford's automated quality-control systems and AI tools fell short, the automaker hired 350 veteran engineers over the past three years to mentor younger staff and reprogram the underperforming technology. ""Artificial intelligence is a fantastic tool, but…",https://slashdot.org/story/26/06/25/1624241/ford-rehires-350-engineers-after-ai-fails-to-preserve-expertise-or-train-juniors,2026-06-25T17:00:00Z,"Those engineers were ""at the heart"" of Ford's efforts to turn around quality problems, said Kumar Galhotra, chief operating officer. They now run mandatory meetings that rigorously troubleshoot quali… [+1193 chars]"
Wired,Kate Knibbs,We Asked the ‘Future of Truth’ Author to Explain How He Used AI. It Didn’t Go Well,A book about how AI shapes perceptions of reality came under fire for using AI-generated quotes. Its problems go beyond that.,https://www.wired.com/story/future-of-truth-ai-interview/,2026-05-29T16:30:00Z,"Earlier this month, WIRED published an excerpt from Steve Rosenbaums buzzy new book, The Future of Truth, which looks at how artificial intelligence warps peoples sense of reality. Shortly thereafter… [+3544 chars]"
Wired,Paresh Dave,Amazon Employees Show Up to City Council Meeting to Demand Limits on Data Centers,Activists say it’s the first time big tech employees have publicly called for regulations governing data center projects.,https://www.wired.com/story/amazon-employees-publicly-demand-regulations-on-data-centers/,2026-06-03T18:07:11Z,"Two Amazon employees on Wednesday publicly called for regulations on new data centers, telling elected officials in Seattle that unchecked development of the sharply disputed nerve centers of AI thre… [+3254 chars]"
Wired,Lily Hay Newman,CISA Tells US Agencies to Fix Security Bugs in as Little as 3 Days Thanks to AI Threats,"“Defenders cannot afford to take weeks to patch,” one Cybersecurity and Infrastructure Security Agency official warned on Wednesday.",https://www.wired.com/story/cisa-ai-vulnerability-directive/,2026-06-10T20:55:40Z,"With new generations of AI models fueling both rapid software vulnerability discovery and the potential for faster exploitation by malicious hackers, the United States Cybersecurity and Infrastructur… [+3945 chars]"
Wired,"Dell Cameron, Yulia Almazova",Leak Exposes Members of Peter Thiel’s Secretive ‘Dialog’ Society,More than 200 of the world's elites registered for a retreat whose agenda runs from panels on cult-building and sex to prepping for World War III. An associated app offers matchmaking.,https://www.wired.com/story/leak-exposes-members-of-peter-thiels-secretive-dialog-society/,2026-06-16T20:21:57Z,"What ties the roster together more than any title or office is a shared preoccupation with artificial intelligence, longevity, and the near future. Asked on a sign-up form to predict the future, regi… [+3377 chars]"
Wired,Fernanda González,China Defies US Restrictions and Builds the World’s Fastest Supercomputer,"The Chinese supercomputer LineShine was ranked as the fastest in the world, despite not using any GPUs.",https://www.wired.com/story/china-defies-us-restrictions-and-builds-the-worlds-fastest-supercomputer/,2026-06-28T09:00:00Z,"China now has the world's fastest supercomputer, overtaking the United States. The system, known as LineShine and installed at the National Supercomputing Center in Shenzhen, displaced the US system … [+3270 chars]"
Scientific American,Ari Sen,Jieneng Chen,Creating artificial-intelligence tools for cancer detection,https://www.scientificamerican.com/article/jieneng-chen/,2026-06-16T09:53:00Z,"Quick Facts
Jieneng Chen
Age
28
Field
Computational Biology
Institution
Stanford University
Computer scientist Jieneng Chen wants to digitize the physical world. He is the inventor of TransUN… [+2319 chars]"
Gizmodo.com,AJ Dellinger,Microsoft’s AI Chief Insists He’s Not Posting Thirst Traps on Main After Messy Breakup With OpenAI,Microsoft is not officially single and looking.,https://gizmodo.com/microsofts-ai-chief-insists-hes-not-posting-thirst-traps-on-main-after-messy-breakup-with-openai-2000768803,2026-06-08T19:25:04Z,"OpenAI and Microsoft looked like an artificial intelligence power couple, but the AI lab’s growth started to make Microsoft feel a bit boxed in. After all, it’s actually the trillion-dollar company, … [+4197 chars]"
Gizmodo.com,AJ Dellinger,China Turns on the World’s First Underwater Data Center,It's probably better than data centers in orbit.,https://gizmodo.com/china-turns-on-the-worlds-first-underwater-data-center-2000769502,2026-06-09T18:40:15Z,We’ve already managed to cause ocean temperatures to rise by burning fossil fuels. Now we’ve figured out a more direct way to do it: dipping our heat-generating data centers directly in the water. Ch… [+2528 chars]
Gizmodo.com,James Pero,Illinois Could Become the First State to Ban Drivers From Wearing Smart Glasses,Illinois is pumping the brakes on where you're allowed to wear AI on your face.,https://gizmodo.com/illinois-could-become-the-first-state-to-ban-drivers-from-wearing-smart-glasses-2000772999,2026-06-17T15:15:53Z,"Smart glasses are facing pushback from all over. The whole category is getting banned in courtrooms, on certain parts of cruise ships, during standardized testing, and now they’re speeding toward a s… [+2275 chars]"
Fox News,,Fox News AI Newsletter: Bezos predicts labor shortage,"The Fox News AI Newsletter covers the latest artificial intelligence technology advancements, including the challenges and opportunities AI presents now and for the future.",https://www.foxnews.com/tech/ai-newsletter-bezos-predicts-labor-shortage,2026-06-19T17:57:52Z,"Welcome to Fox News Artificial Intelligence newsletter with the latest AI technology advancements.
IN TODAYS NEWSLETTER:
- Jeff Bezos predicts AI will create a labor shortage, not replace human wor… [+3634 chars]"
BBC News,https://www.facebook.com/bbcnews,Stanford was their golden ticket - could AI help or hinder that?,The BBC spoke with Stanford University graduates about what they really think about artificial intelligence.,https://www.bbc.co.uk/news/articles/c872j82j2qyo,2026-06-23T23:16:37Z,"Stanford has laid claim to innovations ranging from computer time-sharing to the synthesis of biologically active DNA.
It's home to the SLAC National Accelerator Laboratory where the first website i… [+2151 chars]"
Huggingface.co,,Kimi K2.7-Code: open-source coding model with better token efficiency,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/moonshotai/Kimi-K2.7-Code,2026-06-12T10:42:50Z,"1. Model Introduction
Kimi K2.7 Code is a coding-focused agentic model built upon Kimi K2.6. With substantial improvements on real-world long-horizon coding tasks, it strengthens end-to-end task com… [+10688 chars]"
Scientific American,Brianne Kane,Lvmin Zhang,Developing artificial-intelligence systems to enhance digital art creation,https://www.scientificamerican.com/article/lvmin-zhang/,2026-06-16T09:33:00Z,"Quick Facts
Lvmin Zhang
Age
29
Field
Artificial Intelligence
Institution
Stanford University
When Lvmin Zhang was in high school, he says, everyone thought artificial intelligence was science… [+2147 chars]"
Scientific American,Lauren J. Young,Christina V. Theodoris,Creating artificial-intelligence models to find treatments for cardiac diseases,https://www.scientificamerican.com/article/christina-v-theodoris/,2026-06-16T09:37:00Z,"Quick Facts
Christina V. Theodoris
Age
39
Field
Computational Biology
Institution
Gladstone Institutes and the University of California, San Francisco
Medical researchers can spend their enti… [+2274 chars]"
Scientific American,Deni Ellis Béchard,Alex L. Zhang,Making artificial-intelligence recursive language models more efficient,https://www.scientificamerican.com/article/alex-l-zhang/,2026-06-16T09:34:00Z,"Quick Facts
Alex L. Zhang
Age
24
Field
Artificial Intelligence
Institution
Massachusetts Institute of Technology
Alex L. Zhang was 13 years old when he published a video game that went viral.… [+2230 chars]"
Artificialanalysis.ai,Artificial Analysis,GLM-5.2 is the new leading open weights model on Artificial Analysis,Benchmarks and Analysis of GLM-5.2,https://artificialanalysis.ai/articles/glm-5-2-is-the-new-leading-open-weights-model-on-the-artificial-analysis-intelligence-index,2026-06-17T09:12:00Z,"Z ais GLM-5.2 is the new leading open weights model on the Artificial Analysis Intelligence Index scoring 51 and it sits on the Pareto frontier of Intelligence vs Cost per Task
GLM-5.2 is the same s… [+3491 chars]"
BBC News,,The battle in rural America against AI data centres,Utah approves the world’s largest data centre (62sq miles) but opposition is growing,https://www.bbc.co.uk/sounds/play/w3ct8lz6?at_campaign=rss,2026-06-12T15:50:00Z,"Available for over a year
The worlds largest data centre (62sq miles) has been approved in Utah, but there is growing opposition towards the project. At twice the size of Manhattan with promises to … [+2474 chars]"
Business Insider,Lloyd Lee,Google DeepMind CEO says we don't have much time to prepare for the 'new human era',Google DeepMind CEO Demis Hassabis said AGI is just a few years a way and that humanity doesn't have much time to prepare for it.,https://www.businessinsider.com/google-deepmind-ceo-demis-hassabis-agi-new-human-era-2026-6,2026-06-04T09:46:01Z,"Google DeepMind CEO Demis Hassabis raised the possibility of a ""post-scarcity world"" with the imminent arrival of artificial general intelligence.Karl Mondon / AFP via Getty Images
<ul><li>Google De… [+2219 chars]"
Scientific American,Jeanna Bryner,Omar Yaghi,The Nobel laureate shares how artificial intelligence will change the way science is done,https://www.scientificamerican.com/article/omar-yaghi/,2026-06-16T07:00:00Z,"Omar Yaghi is a professor of chemistry at the University of California, Berkeley, who was jointly awarded the 2025 Nobel Prize in Chemistry for his pioneering work on metal-organic frameworks (MOFs).… [+9282 chars]"
Scientific American,Andrea Thompson,Dmitrii Kochkov,Making artificial-intelligence tools to predict what climate change will mean for extreme weather,https://www.scientificamerican.com/article/dmitrii-kochkov/,2026-06-16T09:43:00Z,"Quick Facts
Dmitrii Kochkov
Age
34
Field
Artificial Intelligence
Institution
Google Research
As a child in Petrozavodsk, Russia, Dmitrii Kochkov loved solving geometry puzzles with his parent… [+2253 chars]"
